,Date,Status,X,Y,Z,Source,Time,SessionTime
11559,2022-03-20 14:51:12.481,OnTrack,-353,1877,-158,pos,0 days 00:50:12.464000,0 days 00:50:12.464000
11560,2022-03-20 14:51:12.781,OnTrack,-353,1877,-158,pos,0 days 00:50:12.764000,0 days 00:50:12.764000
11561,2022-03-20 14:51:13.081,OnTrack,-353,1877,-158,pos,0 days 00:50:13.064000,0 days 00:50:13.064000
11562,2022-03-20 14:51:13.221,OnTrack,-353,1877,-158,pos,0 days 00:50:13.204000,0 days 00:50:13.204000
11563,2022-03-20 14:51:13.441,OnTrack,-353,1877,-158,pos,0 days 00:50:13.424000,0 days 00:50:13.424000
11564,2022-03-20 14:51:13.621,OnTrack,-353,1877,-158,pos,0 days 00:50:13.604000,0 days 00:50:13.604000
11565,2022-03-20 14:51:13.981,OnTrack,-353,1877,-158,pos,0 days 00:50:13.964000,0 days 00:50:13.964000
11566,2022-03-20 14:51:14.161,OnTrack,-353,1877,-158,pos,0 days 00:50:14.144000,0 days 00:50:14.144000
11567,2022-03-20 14:51:14.400,OnTrack,-353,1877,-158,pos,0 days 00:50:14.383000,0 days 00:50:14.383000
11568,2022-03-20 14:51:14.560,OnTrack,-353,1877,-158,pos,0 days 00:50:14.543000,0 days 00:50:14.543000
11569,2022-03-20 14:51:14.720,OnTrack,-353,1877,-158,pos,0 days 00:50:14.703000,0 days 00:50:14.703000
11570,2022-03-20 14:51:15.020,OnTrack,-353,1877,-158,pos,0 days 00:50:15.003000,0 days 00:50:15.003000
11571,2022-03-20 14:51:15.300,OnTrack,-353,1877,-158,pos,0 days 00:50:15.283000,0 days 00:50:15.283000
11572,2022-03-20 14:51:15.640,OnTrack,-353,1877,-158,pos,0 days 00:50:15.623000,0 days 00:50:15.623000
11573,2022-03-20 14:51:15.840,OnTrack,-353,1877,-158,pos,0 days 00:50:15.823000,0 days 00:50:15.823000
11574,2022-03-20 14:51:16.141,OnTrack,-353,1877,-158,pos,0 days 00:50:16.124000,0 days 00:50:16.124000
11575,2022-03-20 14:51:16.221,OnTrack,-353,1877,-158,pos,0 days 00:50:16.204000,0 days 00:50:16.204000
11576,2022-03-20 14:51:16.481,OnTrack,-353,1877,-158,pos,0 days 00:50:16.464000,0 days 00:50:16.464000
11577,2022-03-20 14:51:16.701,OnTrack,-353,1877,-158,pos,0 days 00:50:16.684000,0 days 00:50:16.684000
11578,2022-03-20 14:51:16.921,OnTrack,-353,1877,-158,pos,0 days 00:50:16.904000,0 days 00:50:16.904000
11579,2022-03-20 14:51:17.121,OnTrack,-353,1877,-158,pos,0 days 00:50:17.104000,0 days 00:50:17.104000
11580,2022-03-20 14:51:17.261,OnTrack,-353,1877,-158,pos,0 days 00:50:17.244000,0 days 00:50:17.244000
11581,2022-03-20 14:51:17.581,OnTrack,-353,1877,-158,pos,0 days 00:50:17.564000,0 days 00:50:17.564000
11582,2022-03-20 14:51:18.001,OnTrack,-353,1877,-158,pos,0 days 00:50:17.984000,0 days 00:50:17.984000
11583,2022-03-20 14:51:18.341,OnTrack,-353,1877,-158,pos,0 days 00:50:18.324000,0 days 00:50:18.324000
11584,2022-03-20 14:51:18.781,OnTrack,-353,1877,-158,pos,0 days 00:50:18.764000,0 days 00:50:18.764000
11585,2022-03-20 14:51:19.261,OnTrack,-353,1877,-158,pos,0 days 00:50:19.244000,0 days 00:50:19.244000
11586,2022-03-20 14:51:19.321,OnTrack,-353,1877,-158,pos,0 days 00:50:19.304000,0 days 00:50:19.304000
11587,2022-03-20 14:51:19.541,OnTrack,-353,1877,-158,pos,0 days 00:50:19.524000,0 days 00:50:19.524000
11588,2022-03-20 14:51:19.801,OnTrack,-353,1877,-158,pos,0 days 00:50:19.784000,0 days 00:50:19.784000
11589,2022-03-20 14:51:20.161,OnTrack,-353,1877,-158,pos,0 days 00:50:20.144000,0 days 00:50:20.144000
11590,2022-03-20 14:51:20.501,OnTrack,-353,1877,-158,pos,0 days 00:50:20.484000,0 days 00:50:20.484000
11591,2022-03-20 14:51:20.681,OnTrack,-353,1877,-158,pos,0 days 00:50:20.664000,0 days 00:50:20.664000
11592,2022-03-20 14:51:21.020,OnTrack,-353,1877,-158,pos,0 days 00:50:21.003000,0 days 00:50:21.003000
11593,2022-03-20 14:51:21.240,OnTrack,-353,1877,-158,pos,0 days 00:50:21.223000,0 days 00:50:21.223000
11594,2022-03-20 14:51:21.560,OnTrack,-353,1877,-158,pos,0 days 00:50:21.543000,0 days 00:50:21.543000
